address,model,status,n_tokens,prompt_tokens,completion_tokens,gen_code,is_empty
0x0091e27b9ef50427ad431be70dc441f9f6639d78,bytecode_5,1,7143.0,6772.0,371.0,1.0,False
0x009449c99a2822914d68691d87b0177292fb5a6c,bytecode_4,1,2428.0,2272.0,156.0,0.0,0
0x00c315ac9ff89bb6afa7524cd159f0a9766e8c89,bytecode_3,1,3841.0,3635.0,206.0,1.0,True
0x00fa44d91d7541d16dd18a48dd6a011de5e887df,bytecode_3,1,1229.0,1013.0,216.0,1.0,True
0x01b34fe45b5c00b71d6ff47e76781269aaa7b5c4,bytecode_4,1,1217.0,1045.0,172.0,0.0,0
0x024c0e1966a52c506e95679f2edb7c031aaa8011,bytecode_2,1,2048.0,1441.0,607.0,1.0,False
0x0286f920f893513c7ec9fe35ba0a4760229a243e,bytecode_3,1,1707.0,1322.0,385.0,1.0,False
0x029606e5ec44cad1346d6a1273a53b971fa93ad6,bytecode_4,1,3651.0,3352.0,299.0,1.0,False
0x02e582682aa7b4dcc3f7574c468ef61b29545404,bytecode_1,1,3263.0,2956.0,307.0,1.0,False
0x035611f47a13f3603109152952f0034c674959ba,bytecode_4,1,2109.0,1908.0,201.0,0.0,0
0x039edb0d0613c58f45a777ab5dbf7cafcc7de9cd,bytecode_3,1,2610.0,2281.0,329.0,1.0,False
0x03b7dcf4e018031c39f21a6e99632ccbf72c79a2,bytecode_4,1,2773.0,2557.0,216.0,0.0,0
0x03cc979c46b030c4abd7d4063cd075cb38cd0919,bytecode_4,1,13407.0,13101.0,306.0,1.0,True
0x042a277368cb43a70b06361e7ab7d1d0a2096b0e,bytecode_4,1,1443.0,1241.0,202.0,0.0,0
0x04562d368e202f7e9470f3e238e92c2582c8dcec,bytecode_4,1,1727.0,1565.0,162.0,0.0,0
0x046ec9bb312c51425f7a00b2ab7525afe7db52e6,bytecode_4,1,8306.0,8067.0,239.0,1.0,True
0x0486506702b47fd838f3b8ead7fc9509f012f4a7,bytecode_2,1,4106.0,3538.0,568.0,1.0,True
0x04a4b43352a78294bc7b6d520450825ac639ea21,bytecode_4,1,2476.0,2360.0,116.0,0.0,0
0x04a84b5368c9006ed05e837f8132e9f1c0287482,bytecode_5,1,2225.0,2026.0,199.0,1.0,True
0x04aa51bbcb46541455ccf1b8bef2ebc5d3787ec9,bytecode_2,1,18081.0,17853.0,228.0,1.0,False
