address,model,status,n_tokens,prompt_tokens,completion_tokens,gen_code,is_empty
0x0091e27b9ef50427ad431be70dc441f9f6639d78,description_v1111_2,1,14656.0,12503.0,2153.0,1.0,False
0x009449c99a2822914d68691d87b0177292fb5a6c,description_v1111_5,1,969.0,638.0,331.0,1.0,False
0x00c315ac9ff89bb6afa7524cd159f0a9766e8c89,description_v1111_3,1,2805.0,2113.0,692.0,1.0,False
0x00fa44d91d7541d16dd18a48dd6a011de5e887df,description_v1111_3,1,1400.0,928.0,472.0,1.0,False
0x01b34fe45b5c00b71d6ff47e76781269aaa7b5c4,description_v1111_5,1,1216.0,700.0,516.0,1.0,False
0x024c0e1966a52c506e95679f2edb7c031aaa8011,description_v1111_3,1,12719.0,12270.0,449.0,1.0,False
0x0286f920f893513c7ec9fe35ba0a4760229a243e,description_v1111_2,1,2000.0,1170.0,830.0,1.0,False
0x029606e5ec44cad1346d6a1273a53b971fa93ad6,description_v1111_3,1,3331.0,2301.0,1030.0,1.0,False
0x02e582682aa7b4dcc3f7574c468ef61b29545404,description_v1111_2,1,3357.0,2883.0,474.0,1.0,False
0x035611f47a13f3603109152952f0034c674959ba,description_v1111_3,1,2023.0,1311.0,712.0,1.0,False
0x039edb0d0613c58f45a777ab5dbf7cafcc7de9cd,description_v1111_4,1,1039.0,575.0,464.0,1.0,False
0x03b7dcf4e018031c39f21a6e99632ccbf72c79a2,description_v1111_3,1,12573.0,11713.0,860.0,1.0,False
0x03cc979c46b030c4abd7d4063cd075cb38cd0919,description_v1111_5,"This model's maximum context length is 32768 tokens. However, your messages resulted in 33971 tokens. Please reduce the length of the messages.",0.0,0.0,0.0,0.0,0
0x042a277368cb43a70b06361e7ab7d1d0a2096b0e,description_v1111_3,1,1883.0,1159.0,724.0,1.0,False
0x04562d368e202f7e9470f3e238e92c2582c8dcec,description_v1111_3,1,2446.0,1597.0,849.0,1.0,False
0x046ec9bb312c51425f7a00b2ab7525afe7db52e6,description_v1111_1,1,3141.0,2259.0,882.0,1.0,False
0x0486506702b47fd838f3b8ead7fc9509f012f4a7,description_v1111_1,1,5477.0,4809.0,668.0,1.0,False
0x04a4b43352a78294bc7b6d520450825ac639ea21,description_v1111_5,1,2045.0,1346.0,699.0,1.0,False
0x04a84b5368c9006ed05e837f8132e9f1c0287482,description_v1111_2,1,2822.0,1878.0,944.0,1.0,False
0x04aa51bbcb46541455ccf1b8bef2ebc5d3787ec9,description_v1111_4,1,4800.0,4180.0,620.0,1.0,False
0x052cf5824a4adc682715de9a5b725c65d32f34d5,description_v1111_5,1,900.0,574.0,326.0,1.0,False
0x05b04cb2c29691d3f9ce74e6aa3c69548da3bee2,description_v1111_4,1,3894.0,2548.0,1346.0,1.0,False
0x05b3abd9031a31a45121bda59c7bb52fc7db2590,description_v1111_5,1,1335.0,830.0,505.0,1.0,False
0x05e7039c7afd77157845d9a4f1750b8ca93ec378,description_v1111_5,1,1281.0,835.0,446.0,1.0,False
0x05fa56daf3c7496854bf685e7f3f435f87589e58,description_v1111_1,1,5076.0,4426.0,650.0,1.0,False
0x064f6470b3a913d5e91552749a339b792a1c22bd,description_v1111_2,1,965.0,610.0,355.0,1.0,False
0x06adba5ad6c494e536cad8afa1129ab9f7cb99bf,description_v1111_1,1,3764.0,2542.0,1222.0,1.0,False
0x06c299dbd4d53ee82812c15bc4c997a2a998dd9e,description_v1111_5,1,2056.0,1514.0,542.0,1.0,False
0x06d5697043f8e611807b221e74f08a28bb4e6e13,description_v1111_5,"This model's maximum context length is 32768 tokens. However, your messages resulted in 50900 tokens. Please reduce the length of the messages.",0.0,0.0,0.0,0.0,0
0x06f997c86aa88ac040c69c691c86d2739556286a,description_v1111_5,1,1530.0,974.0,556.0,1.0,False
0x07597255910a51509ca469568b048f2597e72504,description_v1111_3,1,1943.0,1283.0,660.0,1.0,False
0x076c5c977938839914dbceae1643858721ba020b,description_v1111_1,1,1185.0,774.0,411.0,1.0,False
0x07e040d474a584cd2e7e4a819fa18420beb5eb4f,description_v1111_4,1,10899.0,9397.0,1502.0,1.0,False
0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e,description_v1111_5,1,1838.0,1162.0,676.0,1.0,False
0x0839f043ece52658d99cdc9173d5b116608802d8,description_v1111_1,1,3337.0,2498.0,839.0,1.0,False
0x089431f295b58c17c0b1754be2e15d706e990151,description_v1111_3,1,2843.0,1847.0,996.0,1.0,False
0x0944393abcfc9879cedc19e070c056f70703f9b8,description_v1111_5,1,6991.0,6528.0,463.0,1.0,False
0x0952702680b4bf531702385f948a7ee998b53580,description_v1111_3,1,1161.0,748.0,413.0,1.0,False
0x09873cdd92782ee43e7881da138a156e7e8835f5,description_v1111_5,1,1875.0,1174.0,701.0,1.0,False
0x09ac823b069e9403faeacc927d6f472964466e12,description_v1111_5,1,1248.0,826.0,422.0,1.0,False
0x09b4c8200f0cb51e6d44a1974a1bc07336b9f47f,description_v1111_4,1,2224.0,1543.0,681.0,1.0,False
0x09f6742e42daafae735e14ec53b5ee95b66c2886,description_v1111_4,1,8903.0,7698.0,1205.0,1.0,False
0x0a497d3619868163e9cc8402cdd67932a6091440,description_v1111_4,1,2301.0,1664.0,637.0,1.0,False
0x0a5e34ab31a1e589b470e7deeab7bf8b38a1d8d3,description_v1111_5,1,1763.0,1115.0,648.0,1.0,False
0x0a7073207bac23865e0e3b204615364b5a9d3783,description_v1111_4,1,2077.0,1391.0,686.0,1.0,False
0x0acbcc45dde258b18c11b16b06bdc64fd91913ac,description_v1111_4,1,3221.0,2253.0,968.0,1.0,False
0x0addedfeedb9f23397fee42df51fc73cb6f2ceea,description_v1111_5,1,26097.0,25307.0,790.0,1.0,False
0x0b35dd0696ee6c6338f2f08967891feb04183805,description_v1111_3,1,5632.0,4868.0,764.0,1.0,False
0x0b6bc31fe6839ec3b8cfc98819cec7fa64158a8f,description_v1111_5,1,1233.0,769.0,464.0,1.0,False
0x0b7dc5a43ce121b4eaaa41b0f4f43bba47bb8951,description_v1111_2,1,2957.0,2521.0,436.0,1.0,False
0x0b8f53f5cb26f27ecf46840c14cc93577221822d,description_v1111_3,1,1826.0,1187.0,639.0,1.0,False
0x0b9cab17883e721888c22b2bcb5a00f91a711989,description_v1111_5,1,2461.0,1617.0,844.0,1.0,False
0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132,description_v1111_3,1,3573.0,2835.0,738.0,1.0,False
