address,model,status,n_tokens,prompt_tokens,completion_tokens,gen_code,is_empty
0x0091e27b9ef50427ad431be70dc441f9f6639d78,elipmoc_2,1,5369.0,4896.0,473.0,1.0,False
0x009449c99a2822914d68691d87b0177292fb5a6c,elipmoc_4,1,2639.0,2069.0,570.0,1.0,False
0x00c315ac9ff89bb6afa7524cd159f0a9766e8c89,elipmoc_3,1,4416.0,3706.0,710.0,1.0,False
0x00fa44d91d7541d16dd18a48dd6a011de5e887df,elipmoc_3,1,1420.0,875.0,545.0,1.0,False
0x01b34fe45b5c00b71d6ff47e76781269aaa7b5c4,elipmoc_3,1,1374.0,847.0,527.0,1.0,False
0x024c0e1966a52c506e95679f2edb7c031aaa8011,elipmoc_3,1,2376.0,1776.0,600.0,1.0,False
0x0286f920f893513c7ec9fe35ba0a4760229a243e,elipmoc_3,1,1854.0,1424.0,430.0,1.0,False
0x029606e5ec44cad1346d6a1273a53b971fa93ad6,elipmoc_5,1,4215.0,2776.0,1439.0,1.0,False
0x02e582682aa7b4dcc3f7574c468ef61b29545404,elipmoc_3,1,5894.0,3484.0,2410.0,1.0,False
0x035611f47a13f3603109152952f0034c674959ba,elipmoc_1,1,2444.0,1674.0,770.0,1.0,False
0x039edb0d0613c58f45a777ab5dbf7cafcc7de9cd,elipmoc_3,1,3150.0,2653.0,497.0,1.0,False
0x03b7dcf4e018031c39f21a6e99632ccbf72c79a2,elipmoc_3,1,1971.0,1472.0,499.0,1.0,False
0x03cc979c46b030c4abd7d4063cd075cb38cd0919,elipmoc_3,1,20059.0,18288.0,1771.0,1.0,False
0x042a277368cb43a70b06361e7ab7d1d0a2096b0e,elipmoc_2,1,2150.0,1358.0,792.0,1.0,False
0x04562d368e202f7e9470f3e238e92c2582c8dcec,elipmoc_3,1,2157.0,1724.0,433.0,1.0,False
0x046ec9bb312c51425f7a00b2ab7525afe7db52e6,elipmoc_3,1,5548.0,4833.0,715.0,1.0,False
0x0486506702b47fd838f3b8ead7fc9509f012f4a7,elipmoc_2,1,3343.0,2375.0,968.0,1.0,False
0x04a4b43352a78294bc7b6d520450825ac639ea21,elipmoc_3,1,2662.0,1814.0,848.0,1.0,False
0x04a84b5368c9006ed05e837f8132e9f1c0287482,elipmoc_3,1,2455.0,1974.0,481.0,1.0,True
0x04aa51bbcb46541455ccf1b8bef2ebc5d3787ec9,elipmoc_3,Connection error.,0.0,0.0,0.0,0.0,0
0x04deb44ac536ed288ab3ddb7d69920e7002965f1,elipmoc_3,1,4129.0,3663.0,466.0,1.0,False
0x052cf5824a4adc682715de9a5b725c65d32f34d5,elipmoc_3,1,2503.0,2126.0,377.0,1.0,False
0x05b04cb2c29691d3f9ce74e6aa3c69548da3bee2,elipmoc_3,1,3120.0,2415.0,705.0,1.0,False
0x05b3abd9031a31a45121bda59c7bb52fc7db2590,elipmoc_3,1,1463.0,863.0,600.0,1.0,False
0x05e7039c7afd77157845d9a4f1750b8ca93ec378,elipmoc_3,1,1833.0,1102.0,731.0,1.0,False
0x05fa56daf3c7496854bf685e7f3f435f87589e58,elipmoc_1,1,3117.0,2713.0,404.0,1.0,False
0x064f6470b3a913d5e91552749a339b792a1c22bd,elipmoc_3,1,834.0,490.0,344.0,1.0,True
0x06adba5ad6c494e536cad8afa1129ab9f7cb99bf,elipmoc_2,1,5035.0,4014.0,1021.0,1.0,False
0x06c299dbd4d53ee82812c15bc4c997a2a998dd9e,elipmoc_4,1,2243.0,1626.0,617.0,1.0,False
0x06d5697043f8e611807b221e74f08a28bb4e6e13,elipmoc_3,1,7870.0,7353.0,517.0,1.0,False
0x06f997c86aa88ac040c69c691c86d2739556286a,elipmoc_1,1,2200.0,1443.0,757.0,1.0,False
0x07597255910a51509ca469568b048f2597e72504,elipmoc_3,1,2715.0,2368.0,347.0,1.0,True
0x076c5c977938839914dbceae1643858721ba020b,elipmoc_3,1,1372.0,910.0,462.0,1.0,False
0x07e040d474a584cd2e7e4a819fa18420beb5eb4f,elipmoc_3,1,5039.0,4334.0,705.0,1.0,False
0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e,elipmoc_2,1,2210.0,1574.0,636.0,1.0,False
0x0839f043ece52658d99cdc9173d5b116608802d8,elipmoc_5,1,3945.0,3443.0,502.0,1.0,False
0x089431f295b58c17c0b1754be2e15d706e990151,elipmoc_3,1,2092.0,1436.0,656.0,1.0,False
0x0944393abcfc9879cedc19e070c056f70703f9b8,elipmoc_5,1,3797.0,3141.0,656.0,1.0,False
0x0952702680b4bf531702385f948a7ee998b53580,elipmoc_4,1,1289.0,769.0,520.0,1.0,False
0x09873cdd92782ee43e7881da138a156e7e8835f5,elipmoc_3,1,2225.0,1512.0,713.0,1.0,False
0x09ac823b069e9403faeacc927d6f472964466e12,elipmoc_4,1,1594.0,882.0,712.0,1.0,False
0x09b4c8200f0cb51e6d44a1974a1bc07336b9f47f,elipmoc_3,Connection error.,0.0,0.0,0.0,0.0,0
0x09f6742e42daafae735e14ec53b5ee95b66c2886,elipmoc_3,1,3492.0,2843.0,649.0,1.0,False
0x0a497d3619868163e9cc8402cdd67932a6091440,elipmoc_4,1,2543.0,1840.0,703.0,1.0,False
0x0a5e34ab31a1e589b470e7deeab7bf8b38a1d8d3,elipmoc_3,1,1794.0,1235.0,559.0,1.0,False
0x0a7073207bac23865e0e3b204615364b5a9d3783,elipmoc_4,1,2429.0,1584.0,845.0,1.0,False
0x0acbcc45dde258b18c11b16b06bdc64fd91913ac,elipmoc_3,1,3072.0,2399.0,673.0,1.0,False
0x0addedfeedb9f23397fee42df51fc73cb6f2ceea,elipmoc_2,1,5716.0,4787.0,929.0,1.0,False
0x0b35dd0696ee6c6338f2f08967891feb04183805,elipmoc_3,1,5881.0,5405.0,476.0,1.0,False
0x0b6bc31fe6839ec3b8cfc98819cec7fa64158a8f,elipmoc_5,1,2216.0,1487.0,729.0,1.0,False
0x0b7dc5a43ce121b4eaaa41b0f4f43bba47bb8951,elipmoc_2,1,4960.0,4280.0,680.0,1.0,False
0x0b8f53f5cb26f27ecf46840c14cc93577221822d,elipmoc_1,1,2604.0,1757.0,847.0,1.0,False
0x0b9cab17883e721888c22b2bcb5a00f91a711989,elipmoc_5,1,4043.0,2833.0,1210.0,1.0,False
0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132,elipmoc_3,1,5655.0,5110.0,545.0,1.0,True
0x0c5876bc9765ee15fc3378100c070453186db8f3,elipmoc_1,1,1655.0,987.0,668.0,1.0,False
0x0c7126b0c7e79c1ea6930bed8499fedb87cd2006,elipmoc_1,1,3088.0,2436.0,652.0,1.0,False
0x0c78735435fbe36b39cccd5fe35fb4590e3da603,elipmoc_3,1,5102.0,4025.0,1077.0,1.0,True
0x0cfda67b0067f1a99deb1cb80e0273a3f26d317c,elipmoc_2,1,3067.0,2460.0,607.0,1.0,False
0x0d5eae179709e92b3bff65731158e8291c49eafb,elipmoc_2,1,4315.0,3471.0,844.0,1.0,False
0x0dc11b7ed751594906bce3a7091952b30528ee7e,elipmoc_2,1,868.0,426.0,442.0,1.0,False
0x0e7c28fb8ed4f5f63aabd022deaeeba40ecc335c,elipmoc_3,1,4619.0,4082.0,537.0,1.0,True
0x0e915b35cc269b2dfc8bbd8e4a88ed4884a53efc,elipmoc_1,1,1767.0,1279.0,488.0,1.0,False
0x0e9e062d7e60c8a6a406488631dae1c5f6db0e7d,elipmoc_4,1,1598.0,1155.0,443.0,1.0,False
0x0ebb614204e47c09b6c3feb9aaecad8ee060e23e,elipmoc_5,1,3577.0,3040.0,537.0,1.0,False
0x0edde4b6f91dbd2efd075ace85ec2e52d0696d44,elipmoc_1,1,3673.0,3205.0,468.0,1.0,False
0x0f1cd99bea68f0d994064395d2b45315b185882e,elipmoc_3,1,1154.0,698.0,456.0,1.0,False
0x0f1d2925c2840f3d15cb6bd1a1f75e1d5de41d90,elipmoc_1,1,5758.0,5180.0,578.0,1.0,False
0x0f33bb20a282a7649c7b3aff644f084a9348e933,elipmoc_1,1,4861.0,4385.0,476.0,1.0,False
0x0f4cafdce3737601c598bcfd4bbd69f75786ba40,elipmoc_3,1,4277.0,3503.0,774.0,1.0,False
0x0f72b988c30a4e4472607703c3363dcfe0f58e0d,elipmoc_3,1,3628.0,3005.0,623.0,1.0,False
0x0fb6ef1d9934eebdd16e760f6485b561c89c5e57,elipmoc_4,1,1084.0,678.0,406.0,1.0,False
0x1054bf40be3e021e26fa5f6d627fe395a3fd3f26,elipmoc_3,1,3564.0,3005.0,559.0,1.0,False
