address,model,Cfun,Pvar,Rvar,input_type
0x00674045bb7c17f0aa1cde34780d6c51af548728,description_v1111_4,0.7272727272727273,0.6666666666666666,0.6666666666666666,description_v1111
0x00685230359bdb9e16704e1d3918b553e9a015e2,description_v1111_5,1.0,0.875,0.875,description_v1111
0x007d42b9192b8c087b0d3e6ef73aae48e74b41c1,description_v1111_4,,,,description_v1111
0x0286f920f893513c7ec9fe35ba0a4760229a243e,description_v1111_2,0.8,0.8333333333333334,0.8333333333333334,description_v1111
0x035a401972f228b58dcae76bf318b54ed036d680,description_v1111_2,0.875,0.6666666666666666,0.6666666666666666,description_v1111
0x05215fce25902366480696f38c3093e31dbce69a,description_v1111_5,,,,description_v1111
0x05461124c86c0ad7c5d8e012e1499fd9109ffb7d,description_v1111_5,0.5,0.6153846153846154,0.6153846153846154,description_v1111
0x072b4b3008eb2177cce628123d24e75a8e34b9b0,description_v1111_5,,,,description_v1111
0x0a97094c19295e320d5121d72139a150021a2702,description_v1111_2,0.5714285714285714,0.375,0.375,description_v1111
0x0ad3227eb47597b566ec138b3afd78cfea752de5,description_v1111_1,0.06666666666666667,0.4375,0.3888888888888889,description_v1111
0x0b7dc5a43ce121b4eaaa41b0f4f43bba47bb8951,description_v1111_2,0.2727272727272727,0.75,0.75,description_v1111
0x0b8d56c26d8cf16fe1bddf4967753503d974de06,description_v1111_5,,,,description_v1111
0x0efef0b34638addc8833ba729ae20016b5f24ffc,description_v1111_3,0.5,0.5555555555555556,0.5555555555555556,description_v1111
0x0f90ef4e2526e3d1791862574f9fb26a0f39ec86,description_v1111_5,,,,description_v1111
0x112918a54e3ada863cf694970da0756f1eecc68d,description_v1111_2,0.75,0.6666666666666666,0.8,description_v1111
0x12d5b7c26dd8dc6e2f71f5bf240d5e76452b2fe5,description_v1111_4,0.0,0.0,0.0,description_v1111
0x12d66f87a04a9e220743712ce6d9bb1b5616b8fc,description_v1111_5,0.8571428571428571,0.6923076923076923,0.6428571428571429,description_v1111
0x141044ccc363d6e8d92dd8983422775913e304ec,description_v1111_4,,,,description_v1111
0x167cb3f2446f829eb327344b66e271d1a7efec9a,description_v1111_5,,,,description_v1111
0x16a0772b17ae004e6645e0e95bf50ad69498a34e,description_v1111_3,0.7,0.6666666666666666,0.6666666666666666,description_v1111
0x18639f44f946983bf3413d9b51322d05c29d269e,description_v1111_5,1.0,1.0,1.0,description_v1111
0x18a672e11d637fffadccc99b152f4895da069601,description_v1111_3,,,,description_v1111
0x19c320b43744254ebdbcb1f1bd0e2a3dc08e01dc,description_v1111_1,0.35714285714285715,0.8636363636363636,0.8636363636363636,description_v1111
0x1a94656a6245379bc0d9c64c402197528edb2bd1,description_v1111_1,0.8666666666666667,0.8,0.8,description_v1111
0x1bb28e79f2482df6bf60efc7a33365703bcf1536,description_v1111_5,0.5,1.0,1.0,description_v1111
0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,description_v1111_5,,,,description_v1111
0x1ce865c81e76aafd2003e69acd2d196d19aac144,description_v1111_2,0.8333333333333334,0.5,0.6666666666666666,description_v1111
0x1e143b2588705dfea63a17f2032ca123df995ce0,description_v1111_5,,,,description_v1111
0x2101e480e22c953b37b9d0fe6551c1354fe705e6,description_v1111_4,0.22727272727272727,0.9166666666666666,0.9166666666666666,description_v1111
0x22a97c80d7e0a9ae616737e3b8b531248f4ef91d,description_v1111_5,,,,description_v1111
0x22dccfa39dbe59cd3f27e6531b33b5101bb2a70d,description_v1111_5,,,,description_v1111
0x23ea10cc1e6ebdb499d24e45369a35f43627062f,description_v1111_5,1.0,1.0,1.0,description_v1111
0x24f0bb6c9b2c3db66603fa0ec07ab0cf55cdd387,description_v1111_5,0.5,0.4,0.4,description_v1111
0x25a06d4e1f804ce62cf11b091180a5c84980d93a,description_v1111_5,,,,description_v1111
0x269a6ffb97325e8e371f067fea216c9f62848833,description_v1111_5,,,,description_v1111
0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,description_v1111_5,0.7777777777777778,0.6666666666666666,0.6666666666666666,description_v1111
0x29488e24cfdaa52a0b837217926c0c0853db7962,description_v1111_3,0.13333333333333333,0.4375,0.3888888888888889,description_v1111
0x2956356cd2a2bf3202f771f50d3d14a367b48070,description_v1111_5,1.0,0.3333333333333333,0.3333333333333333,description_v1111
0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,description_v1111_5,,,,description_v1111
0x2af47a65da8cd66729b4209c22017d6a5c2d2400,description_v1111_5,,,,description_v1111
0x2b78a837c37549539c62ab54a235a8e19fea812f,description_v1111_4,0.75,0.5,0.5,description_v1111
0x2cbc6812cff0b1113bf2808ffce6d83b97afd345,description_v1111_5,1.0,0.75,0.75,description_v1111
