address,model,status,n_tokens,prompt_tokens,completion_tokens,gen_code,is_empty
0x00674045bb7c17f0aa1cde34780d6c51af548728,panoramix_5,1,6727.0,6187.0,540.0,1.0,False
0x00685230359bdb9e16704e1d3918b553e9a015e2,panoramix_2,1,4428.0,4065.0,363.0,1.0,False
0x007d42b9192b8c087b0d3e6ef73aae48e74b41c1,panoramix_2,1,4970.0,4358.0,612.0,1.0,False
0x0286f920f893513c7ec9fe35ba0a4760229a243e,panoramix_1,1,1734.0,1039.0,695.0,1.0,False
0x035a401972f228b58dcae76bf318b54ed036d680,panoramix_5,1,6215.0,5596.0,619.0,1.0,False
0x04f062809b244e37e7fdc21d9409469c989c2342,panoramix_2,"This model's maximum context length is 32768 tokens. However, your messages resulted in 60839 tokens. Please reduce the length of the messages.",0.0,0.0,0.0,0.0,0
0x05215fce25902366480696f38c3093e31dbce69a,panoramix_2,1,10294.0,9463.0,831.0,1.0,False
0x05461124c86c0ad7c5d8e012e1499fd9109ffb7d,panoramix_2,"This model's maximum context length is 32768 tokens. However, your messages resulted in 60452 tokens. Please reduce the length of the messages.",0.0,0.0,0.0,0.0,0
0x072b4b3008eb2177cce628123d24e75a8e34b9b0,panoramix_2,1,6606.0,6206.0,400.0,1.0,True
0x0a97094c19295e320d5121d72139a150021a2702,panoramix_2,1,25456.0,24951.0,505.0,1.0,True
0x0ad3227eb47597b566ec138b3afd78cfea752de5,panoramix_2,"This model's maximum context length is 32768 tokens. However, your messages resulted in 250215 tokens. Please reduce the length of the messages.",0.0,0.0,0.0,0.0,0
0x0b7dc5a43ce121b4eaaa41b0f4f43bba47bb8951,panoramix_5,1,2906.0,2353.0,553.0,1.0,False
0x0b8d56c26d8cf16fe1bddf4967753503d974de06,panoramix_2,1,2485.0,2069.0,416.0,1.0,False
0x0efef0b34638addc8833ba729ae20016b5f24ffc,panoramix_3,1,6430.0,5776.0,654.0,1.0,False
0x0f90ef4e2526e3d1791862574f9fb26a0f39ec86,panoramix_2,"This model's maximum context length is 32768 tokens. However, your messages resulted in 245590 tokens. Please reduce the length of the messages.",0.0,0.0,0.0,0.0,0
0x112918a54e3ada863cf694970da0756f1eecc68d,panoramix_2,1,5594.0,4653.0,941.0,1.0,False
0x12d5b7c26dd8dc6e2f71f5bf240d5e76452b2fe5,panoramix_2,"This model's maximum context length is 32768 tokens. However, your messages resulted in 36268 tokens. Please reduce the length of the messages.",0.0,0.0,0.0,0.0,0
0x12d66f87a04a9e220743712ce6d9bb1b5616b8fc,panoramix_2,1,7391.0,6468.0,923.0,1.0,False
0x141044ccc363d6e8d92dd8983422775913e304ec,panoramix_1,1,6062.0,5478.0,584.0,1.0,False
0x167cb3f2446f829eb327344b66e271d1a7efec9a,panoramix_2,1,14710.0,14125.0,585.0,1.0,False
0x16a0772b17ae004e6645e0e95bf50ad69498a34e,panoramix_3,1,6091.0,4967.0,1124.0,1.0,False
0x18639f44f946983bf3413d9b51322d05c29d269e,panoramix_2,1,1764.0,1138.0,626.0,1.0,False
0x18a672e11d637fffadccc99b152f4895da069601,panoramix_2,"This model's maximum context length is 32768 tokens. However, your messages resulted in 252950 tokens. Please reduce the length of the messages.",0.0,0.0,0.0,0.0,0
0x19c320b43744254ebdbcb1f1bd0e2a3dc08e01dc,panoramix_2,1,3994.0,3418.0,576.0,1.0,False
0x1a94656a6245379bc0d9c64c402197528edb2bd1,panoramix_5,1,2311.0,1879.0,432.0,1.0,False
0x1bb28e79f2482df6bf60efc7a33365703bcf1536,panoramix_2,1,665.0,243.0,422.0,1.0,False
0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,panoramix_2,"This model's maximum context length is 32768 tokens. However, your messages resulted in 50178 tokens. Please reduce the length of the messages.",0.0,0.0,0.0,0.0,0
0x1ce865c81e76aafd2003e69acd2d196d19aac144,panoramix_5,1,2104.0,1329.0,775.0,1.0,False
