address,language,name,is_new,sai,Bytecode_n_sai,Bytecode_sai_coverage,Elipmoc_n_sai,Elipmoc_sai_coverage,SpecDescription_n_sai,SpecDescription_sai_coverage,Bytecode_correct,SpecDescription_correct,Elipmoc_correct,SpecDescription_diff,Reasons,Elipmoc_diff,Bytecode_diff
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Solidity,WETH9,False,"{'SSTORE': 6, 'CALL': 1}",,-1.0,10.0,1.0,9.0,0.5,,0.0,0.0,transferFrom-1,(Model Errors) - Lack a condition - lack a user check,"transferFrom,transfer",
0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,Solidity,Exchange,False,"{'SSTORE': 23, 'CALL': 8}",2.0,0.084239,5.0,0.190217,,-1.0,,,,,,,
0x23ea10cc1e6ebdb499d24e45369a35f43627062f,Solidity,Acid,False,"{'STATICCALL': 1, 'CALL': 2, 'SSTORE': 3}",2.0,0.333333,6.0,1.0,8.0,1.0,,1.0,1.0,,,,
0xb59a226a2b8a2f2b0512baa35cc348b6b213b671,Solidity,EtherToken,False,"{'SSTORE': 9, 'CALL': 9}",2.0,0.111111,10.0,0.555556,21.0,0.888889,,,,,,,
0xaa7427d8f17d87a28f5e1ba3adbb270badbe1011,Solidity,WrapperLockEth,False,"{'SSTORE': 13, 'CALL': 8}",4.0,0.153846,1.0,0.038462,,-1.0,,0.0,0.0,"transferFrom-1,withdraw-1",type conversation,,
0x0b7dc5a43ce121b4eaaa41b0f4f43bba47bb8951,Solidity,EtherToken,False,"{'SSTORE': 9, 'CALL': 10}",,-1.0,8.0,0.444444,7.0,0.377778,,,,,,,
0x899f9a0440face1397a1ee1e3f6bf3580a6633d1,Solidity,RedemptionContract,False,{'CALL': 2},,-1.0,3.0,1.0,2.0,1.0,,1.0,0.0,,,redeemTokens,
0x575cb87ab3c2329a0248c7d70e0ead8e57f3e3f7,Solidity,AhooleeTokenSale,False,"{'SSTORE': 15, 'CALL': 5}",2.0,0.066667,4.0,0.133333,25.0,1.0,,0.0,0.0,fallback-2,(Descriptions Errors) - extra behavior,,
0x2956356cd2a2bf3202f771f50d3d14a367b48070,Solidity,EtherToken,False,"{'SSTORE': 10, 'CALL': 1}",,-1.0,11.0,1.0,13.0,1.0,,1.0,0.0,,,"transferFrom-1,withdraw-1,transfer-1,deposit-2,fallback-2",
0xe01e2a3ceafa8233021fc759e5a69863558326b6,Solidity,EKS,False,"{'SSTORE': 38, 'CALL': 5}",,-1.0,3.0,0.039474,13.0,0.344737,,,,,,,
